ui_category,keywords,recommended_pattern,style_priority,color_mood,type_mood,key_effects,anti_patterns
SaaS,"saas,product,subscription,onboarding,workflow",Hero with product shot then value pillars then social proof then pricing then CTA,Clean minimal + subtle depth,calm slate base with one confident accent,confident and readable hierarchy,"card hover lift 200ms; staggered section reveal 120ms apart","cluttered feature walls; generic stock smiles; rainbow gradients"
E-commerce,"shop,store,cart,product,checkout",Product grid first then filter rail then trust badges then streamlined checkout,Bright commerce + crisp imagery,warm neutral canvas with vivid sale accent,inviting and scannable,"image zoom on hover 250ms; add-to-cart pop 180ms","tiny thumbnails; buried prices; multi-step cart friction"
Fintech,"finance,payments,money,invoice,balance",Value headline then dashboard preview then security proof then CTA,Precise minimal + data clarity,trust navy with restrained mint accent,exact and reassuring,"count-up stats on scroll 600ms; subtle card tilt 150ms","cartoon mascots; vague claims without figures; loud reds near balances"
Banking,"bank,account,deposit,loan,secure",Reassurance hero then service tiles then compliance proof then apply or locate,Conservative clean + solid structure,steadfast deep blue with gold-restraint accent,formal and dependable,"gentle fade-in 300ms; strong input focus rings","dark mode by default; trendy neon; aggressive marketing motion"
Healthcare,"health,patient,care,clinic,appointment",Calm hero then services then provider directory then booking flow,Soft minimal + accessible contrast,healing teal with warm sand neutral,clear and compassionate,"smooth reveal 280ms; large tap targets with press feedback","sterile gray-only palette; tiny body text; red alerts everywhere"
Education,"learn,course,student,lesson,curriculum",Welcoming hero then course catalog then outcomes then enroll path,Friendly approachable + structure,optimistic blue with sunny highlight,encouraging and legible,"progress bar fill 400ms; card hover raise 200ms","childish clip-art for adults; dense text walls; no clear next step"
Portfolio,"portfolio,creative,personal,showcase,work",Bold intro statement then selected projects then about then contact,Expressive editorial + whitespace,monochrome canvas with one signature hue,distinctive with strong display type,"image parallax on scroll; cursor-follow accent 100ms","template sameness; autoplay audio; everything animated at once"
Agency,"agency,studio,services,clients,brand",Confident statement hero then capabilities then case studies then contact,Editorial bold + motion-forward,inky base with electric brand accent,assertive and stylish,"text mask reveal 500ms; slow looping logo marquee","generic corporate stock; lorem-feel copy; no real case results"
Developer tool,"developer,api,cli,sdk,code",Headline with code sample then quickstart then features then docs link,Technical minimal + dark-friendly,graphite base with terminal-green accent,monospace-accented and precise,"copy-button feedback 150ms; syntax tab crossfade 200ms","marketing fluff over code; hidden pricing; no live example"
AI product,"ai,model,assistant,automation,intelligence",Capability hero then live demo then use cases then integration then CTA,Modern clean + tasteful glow,deep ink with cool intelligent accent,crisp and forward-looking,"typing-stream demo; soft glow pulse 1200ms loop","overused purple gradient cliche; vague magic claims; fake chat screenshots"
